no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
136,Sarairanjan,sarairanjan,Samastipur,,22,Ujiarpur,Vijay Kumar Chaudhary,JD(U),53946,Ramashraya Sahni,RJD,36389,17557,Vijay Kumar Chaudhary,JD(U),"81,055",Ranjeet Nirguni,BJP,"47,011","34,044",Vijay Kumar Chaudhary,JD(U),"72,666",Arvind Kumar Sahni,RJD,"69,042","3,624",,,,,,,,Vijay Kumar Chaudhary,JD(U),NDA,,False,False
137,Mohiuddinnagar,mohiuddinnagar,Samastipur,,22,Ujiarpur,Rana Gangeshwar Singh,BJP,51756,Ajay Kumar Bulganin,RJD,37405,14351,Ejya Yadav,RJD,"47,137",Rajesh Kumar Singh,IND,"23,706","23,431",Rajesh Kumar Singh,BJP,"70,385",Ejya Yadav,RJD,"55,271","15,114",,,,,,,,Rajesh Kumar Singh,BJP,NDA,,False,False
138,Bibhutipur,bibhutipur,Samastipur,,22,Ujiarpur,Ram Balak Singh,JD(U),46469,Ram Deo Verma,CPI(M),34168,12301,Ram Balak Singh,JD(U),"57,882",Ramdeo Verma,CPI(M),"40,647","17,235",Ajay Kumar,CPI(M),"73,822",Ram Balak Singh,JD(U),"33,326","40,496",,,,,,,,Ajay Kumar,CPI(M),MGB,,False,False
139,Rosera,rosera-sc,Samastipur,SC,23,Samastipur,Manju Hazari,BJP,57930,Pitamber Paswan,RJD,45811,12119,Ashok Kumar,INC,"85,506",Manju Hazari,BJP,"51,145","34,361",Birendra Kumar,BJP,"87,163",Nagendra Kumar Vikal,INC,"51,419","35,744",,,,,,,,Birendra Kumar,BJP,NDA,,False,False
140,Hasanpur,hasanpur,Samastipur,,25,Khagaria,Raj Kumar Ray,JD(U),36767,Sunil Kumar Puspam,RJD,33476,3291,Raj Kumar Ray,JD(U),"63,094",Vinod Choudhary,RLSP,"33,494","29,600",Tej Pratap Yadav,RJD,"80,991",Raj Kumar Ray,JD(U),"59,852","21,139",,,,,,,,Tej Pratap Yadav,RJD,MGB,,False,False
141,Cheria-Bariarpur,cheria-bariarpur,Begusarai,,24,Begusarai,Manju Verma,JD(U),32807,Anil Kumar Chaudhary,LJP,31746,1061,Manju Verma,JD(U),"69,795",Anil Kumar Chaudhary,LJP,"40,059","29,736",Raj Banshi Mahto,RJD,"68,635",Manju Verma,JD(U),"27,738","40,897",,,,,,,,Raj Banshi Mahto,RJD,MGB,,False,False
142,Bachhwara,bachhwara,Begusarai,,24,Begusarai,Abdhesh Kumar Rai,CPI,33770,Arvind Kumar Singh,IND,21683,12087,Ramdeo Rai,INC,"73,983",Arvind Kumar Singh,LJP,"37,052","36,931",Surendra Mehata,BJP,"54,738",Abdhesh Kumar Rai,CPI,"54,254",484,,,,,,,,Surendra Mehata,BJP,NDA,,False,False
143,Teghra,teghra,Begusarai,,24,Begusarai,Lalan Kumar,BJP,38694,Ram Ratan Singh,CPI,32848,5846,Birendra Kumar,RJD,"68,975",Ram Lakhan Singh,BJP,"53,364","15,611",Ram Ratan Singh,CPI,"85,229",Birendra Kumar,JD(U),"37,250","47,979",,,,,,,,Ram Ratan Singh,CPI,MGB,,False,False
144,Matihani,matihani,Begusarai,,24,Begusarai,Narendra Kumar Singh,JD(U),60530,Abhay Kumar Sarjan,INC,36702,23828,Narendra Kumar Singh,JD(U),"89,297",Sarvesh Kumar,BJP,"66,609","22,688",Rajkumar Singh,LJP,"61,364",Narendra Kumar Singh,JD(U),"61,031",333,,,,,,,,Raj Kumar Singh,JD(U),NDA,Switched from LJP to JD(U)[16],True,True
145,Sahebpur Kamal,sahebpur-kamal,Begusarai,,24,Begusarai,Parveen Amanullah,JD(U),46391,Shreenarayan Yadav,RJD,35280,11111,Shreenarayan Yadav,RJD,"78,225",M.d. Aslam,LJP,"32,751","45,474",Satanand Sambuddha,RJD,"64,888",Shashikant Kumar Shashi,JD(U),"50,663","14,225",,,,,,,,Sadanand Yadav,RJD,MGB,,False,True
146,Begusarai,begusarai,Begusarai,,24,Begusarai,Surendra Mehata,BJP,50602,Upendra Prasad Singh,LJP,30984,19618,Amita Bhushan,INC,"83,521",Surendra Mehata,BJP,"66,990","16,531",Kundan Kumar,BJP,"74,217",Amita Bhushan,INC,"69,663","4,554",,,,,,,,Kundan Kumar,BJP,NDA,,False,False
147,Bakhri,bakhri-sc,Begusarai,SC,24,Begusarai,Ramanand Ram,BJP,43871,Ram Binod Paswan,LJP,25459,18412,Upendra Paswan,RJD,"72,632",Ramanand Ram,BJP,"32,376","40,256",Suryakant Paswan,CPI,"72,177",Ramshankar Paswan,BJP,"71,400",777,,,,,,,,Suryakant Paswan,CPI,MGB,,False,False
148,Alauli,alauli-sc,Khagaria,SC,25,Khagaria,Ram Chandra Sada,JD(U),53775,Pashupati Kumar Paras,LJP,36252,17523,Chandan Kumar,RJD,"70,519",Pashupati Kumar Paras,LJP,"46,049","24,470",Ramvrikish Sada,RJD,"47,183",Sadhna Devi,JD(U),"44,410","2,773",,,,,,,,Ramvrikish Sada,RJD,MGB,,False,False
149,Khagaria,khagaria,Khagaria,,25,Khagaria,Poonam Devi Yadav,JD(U),48841,Sushila Devi,LJP,21988,26853,Poonam Devi Yadav,JD(U),"64,767",Rajesh Kumar,HAM(S),"39,202","25,565",Chhatrapati Yadav,INC,"46,980",Poonam Devi Yadav,JD(U),"43,980","3,000",,,,,,,,Chhatrapati Yadav,INC,MGB,,False,False
150,Beldaur,beldaur,Khagaria,,25,Khagaria,Panna Lal Singh Patel,JD(U),45990,Sunita Sharma,LJP,30252,15738,Panna Lal Singh Patel,JD(U),"63,216",Mithilesh Kumar Nishad,LJP,"49,691","13,525",Panna Lal Singh Patel,JD(U),"56,541",Chandan Kumar,INC,"51,433","5,108",,,,,,,,Panna Lal Singh Patel,JD(U),NDA,,False,False
151,Parbatta,parbatta,Khagaria,,25,Khagaria,Samrat Chaudhary,RJD,60428,Ramanand Prasad Singh,JD(U),59620,808,Ramanand Prasad Singh,JD(U),"76,248",Ramanuj Choudhary,BJP,"47,324","28,924",Sanjeev Kumar,JD(U),"77,226",Digambar Prasad Tiwary,RJD,"76,275",951,,,,,,,,Sanjeev Kumar,JD(U),NDA,,False,False
152,Bihpur,bihpur,Bhagalpur,,26,Bhagalpur,Kumar Shailendra,BJP,48027,Shailesh Kumar,RJD,47562,465,Varsha Rani,RJD,"68,963",Kumar Shailendra,BJP,"56,247","12,716",Kumar Shailendra,BJP,"72,938",Shailesh Kumar Mandal,RJD,"66,809","6,129",,,,,,,,Kumar Shailendra,BJP,NDA,,False,False
153,Gopalpur,gopalpur,Bhagalpur,,26,Bhagalpur,Narendra Kumar Niraj,JD(U),53876,Amit Rana,RJD,28816,25060,Narendra Kumar Niraj,JD(U),"57,403",Anil Kumar Yadav,BJP,"52,234","5,169",Narendra Kumar Niraj,JD(U),"75,533",Shailesh Kumar,RJD,"51,072","24,461",,,,,,,,Narendra Kumar Niraj,JD(U),NDA,,False,False
154,Pirpainti,pirpainti-sc,Bhagalpur,SC,26,Bhagalpur,Aman Kumar,BJP,48493,Ram Vilash Paswan,RJD,42741,5752,Ram Vilash Paswan,RJD,"80,058",Lalan Kumar,BJP,"74,914","5,144",Lalan Kumar,BJP,"96,229",Ram Vilash Paswan,RJD,"69,210","27,019",,,,,,,,Lalan Kumar,BJP,NDA,,False,False
155,Kahalgaon,kahalgaon,Bhagalpur,,26,Bhagalpur,Sadanand Singh,INC,44936,Kahkashan Perween,JD(U),36001,8935,Sadanand Singh,INC,"64,981",Niraj Kumar Mandal,LJP,"43,752","21,229",Pawan Kumar Yadav,BJP,"115,538",Shubhanand Mukesh,INC,"72,645","42,893",,,,,,,,Pawan Kumar Yadav,BJP,NDA,,False,False
156,Bhagalpur,bhagalpur,Bhagalpur,,26,Bhagalpur,Ashwini Kumar Choubey,BJP,49164,Ajeet Sharma,INC,38104,11060,Ajeet Sharma,INC,"70,514",Arjit Shashwat Choubey,BJP,"59,856","10,658",Ajeet Sharma,INC,"65,502",Rohit Pandey,BJP,"64,389","1,113",,,,,,,,Ajeet Sharma,INC,MGB,,False,False
157,Sultanganj,sultanganj,Bhagalpur,,27,Banka,Subodh Roy,JD(U),34652,Ramavatar Mandal,RJD,29807,4845,Subodh Roy,JD(U),"63,345",Himanshu Prasad,RLSP,"49,312","14,033",Lalit Narayan Mandal,JD(U),"72,823",Lalan Kumar,INC,"61,258","11,565",,,,,,,,Lalit Narayan Mandal,JD(U),NDA,,False,False
158,Nathnagar,nathnagar,Bhagalpur,,26,Bhagalpur,Ajay Kumar Mandal,JD(U),42094,Abu Kaishar,RJD,37367,4727,Ajay Kumar Mandal,JD(U),"66,485",Amar Nath Prasad,LJP,"58,660","7,825",Ali Ashraf Siddiqui,RJD,"78,832",Lakshmikant Mandal,JD(U),"71,076","7,756",,,,,,,,Ali Ashraf Siddiqui,RJD,MGB,,False,False
159,Amarpur,amarpur,Banka,,27,Banka,Janardan Manjhi,JD(U),47300,Surendra Prasad Singh,RJD,29293,18007,Janardan Manjhi,JD(U),"73,707",Mrinal Shekhar,BJP,"61,934","11,773",Jayant Raj Kushwaha,JD(U),"54,308",Jitendra Singh,INC,"51,194","3,114",,,,,,,,Jayant Raj Kushwaha,JD(U),NDA,,False,False
160,Dhoraiya,dhoraiya-sc,Banka,SC,27,Banka,Manish Kumar,JD(U),40261,Naresh Das,RJD,31919,8342,Manish Kumar,JD(U),"68,858",Bhudeo Choudhary,RLSP,"44,704","24,154",Bhudeo Choudhary,RJD,"78,646",Manish Kumar,JD(U),"75,959","2,687",,,,,,,,Bhudeo Choudhary,RJD,MGB,,False,False
161,Banka,banka,Banka,,27,Banka,Javed Iqbal Ansari,RJD,29047,Ramnarayan Mandal,BJP,26637,2410,Ramnarayan Mandal,BJP,"52,379",Zafrul Hoda,RJD,"48,649","3,730",Ramnarayan Mandal,BJP,"69,762",Javed Iqbal Ansari,RJD,"52,934","16,828",,,,,,,,Ramnarayan Mandal,BJP,NDA,,False,False
162,Katoria,katoria-st,Banka,ST,27,Banka,Sonelal Hembram,BJP,32332,Suklal Besara,RJD,23569,8763,Sweety Sima Hembram,RJD,"54,760",Nikki Hembram,BJP,"44,423","10,337",Nikki Hembrom,BJP,"74,785",Sweety Sima Hembram,RJD,"68,364","6,421",,,,,,,,Nikki Hembrom,BJP,NDA,,False,False
163,Belhar,belhar,Banka,,27,Banka,Giridhari Yadav,JD(U),33776,Ramdeo Yadav,RJD,26160,7616,Giridhari Yadav,JD(U),"70,348",Manoj Yadav,BJP,"54,157","16,191",Manoj Yadav,JD(U),"73,589",Ramdeo Yadav,RJD,"71,116","2,473",,,,,,,,Manoj Yadav,JD(U),NDA,,False,False
164,Tarapur,tarapur,Munger,,40,Jamui,Neeta Choudhary,JD(U),44582,Sakuni Choudhury,RJD,30704,13878,Mewalal Chaudhary,JD(U),"66,411",Shakuni Choudhury,HAM(S),"54,464","11,947",Mewalal Chaudhary,JD(U),"64,468",Divya Prakash,RJD,"57,243","7,225",,,,,,,,Mewa Lal Choudhary,JD(U),NDA,"Died on 19 April 2021 due to COVID-19
Rajeev Kumar Singh	Elected on 2 November 2021 in by-election",False,True
165,Munger,munger,Munger,,28,Munger,Anant Kumar Satyarthy,JD(U),55086,Shabnam Perwin,RJD,37473,17613,Vijay Kumar 'Vijay',RJD,"77,216",Pranav Kumar,BJP,"72,851","4,365",Pranav Kumar Yadav,BJP,"75,573",Avinash Kumar Vidhyarthi,RJD,"74,329","1,244",,,,,,,,Pranav Kumar Yadav,BJP,NDA,,False,False
166,Jamalpur,jamalpur,Munger,,28,Munger,Shailesh Kumar,JD(U),48337,Sadhana Devi,LJP,27195,21142,Shailesh Kumar,JD(U),"67,273",Himanshu Kunvar,LJP,"51,797","15,476",Ajay Kumar Singh,INC,"57,196",Shailesh Kumar,JD(U),"52,764","4,432",,,,,,,,Ajay Kumar Singh,INC,MGB,,False,False
167,Suryagarha,suryagarha,Lakhisarai,,28,Munger,Prem Ranjan Patel,BJP,49511,Prahlad Yadav,RJD,46583,2928,Prahlad Yadav,RJD,"82,490",Prem Ranjan Patel,BJP,"52,460","30,030",Prahlad Yadav,RJD,"62,306",Ramanand Mandal,JD(U),"52,717","9,589",,,,,,,,Prahlad Yadav,JD(U),NDA,Switched from RJD to JDU,True,False
168,Lakhisarai,lakhisarai,Lakhisarai,,28,Munger,Vijay Kumar Sinha,BJP,78457,Fulaina Singh,RJD,18837,59620,Vijay Kumar Sinha,BJP,"75,901",Ramanand Mandal,JD(U),"69,345","6,556",Vijay Kumar Sinha,BJP,"74,212",Amaresh Kumar,INC,"63,729","10,483",,,,,,,,Vijay Kumar Sinha,BJP,NDA,Deputy Leader of BJP,False,False
169,Sheikhpura,sheikhpura,Sheikhpura,,40,Jamui,Randhir Kumar Soni,JD(U),31507,Sunila Devi,INC,24165,7342,Randhir Kumar Soni,JD(U),"41,755",Naresh Saw,HAM(S),"28,654","13,101",Vijay Kumar,RJD,"56,365",Randhir Kumar Soni,JD(U),"50,249","6,116",,,,,,,,Vijay Kumar Yadav,RJD,MGB,,False,True
170,Barbigha,barbigha,Sheikhpura,,39,Nawada,Gajanand Shahi,JD(U),24136,Ashok Choudhary,INC,21089,3047,Sudarshan Kumar,INC,"46,406",Sheo Kumar,RLSP,"30,689","15,717",Sudarshan Kumar,JD(U),"39,878",Gajanand Shahi,INC,"39,765",113,,,,,,,,Sudarshan Kumar,JD(U),NDA,,False,False
171,Asthawan,asthawan,Nalanda,,29,Nalanda,Jitendra Kumar,JD(U),54176,Kapildev Prasad Singh,LJP,34606,19570,Jitendra Kumar,JD(U),"58,908",Chhote Lal Yadav,LJP,"48,464","10,444",Jitendra Kumar,JD(U),"51,525",Anil Kumar,RJD,"39,925","11,600",,,,,,,,Jitendra Kumar,JD(U),NDA,,False,False
172,Biharsharif,biharsharif,Nalanda,,29,Nalanda,Sunil Kumar,JD(U),77880,Aafrin Sultana,RJD,54168,23712,Sunil Kumar,BJP,"76,201",Mohammad Asghar Shamim,JD(U),"73,861","2,340",Sunil Kumar,BJP,"81,888",Sunil Kumar,RJD,"66,786","15,102",,,,,,,,Sunil Kumar,BJP,NDA,,False,False
173,Rajgir,rajgir-sc,Nalanda,SC,29,Nalanda,Satyadev Narayan Arya,BJP,50648,Dhananjay Kumar,LJP,23697,26951,Ravi Jyoti Kumar,JD(U),"62,009",Satyadev Narayan Arya,BJP,"56,619","5,390",Kaushal Kishore,JD(U),"67,191",Ravi Jyoti Kumar,INC,"51,143","16,048",,,,,,,,Kaushal Kishore,JD(U),NDA,,False,False
174,Islampur,islampur,Nalanda,,29,Nalanda,Rajib Ranjan,JD(U),56332,Birendra Gope,RJD,32524,23808,Chandrasen Prasad,JD(U),"66,587",Birendra Gope,BJP,"66,587","22,602",Rakesh Kumar Roushan,RJD,"68,088",Chandra Sen Prasad,JD(U),"64,390","3,698",,,,,,,,Rakesh Raushan Yadav,RJD,MGB,,False,True
175,Hilsa,hilsa,Nalanda,,29,Nalanda,Usha Sinha,JD(U),54974,Reena Devi,LJP,41772,13202,Shakti Singh Yadav,RJD,"72,347",Deepika Kumari,LJP,"46,271","26,076",Krishna Murari Sharan,JD(U),"61,848",Shakti Singh Yadav,RJD,"61,836",12,,,,,,,,Krishna Murari Sharan,JD(U),NDA,,False,False
176,Nalanda,nalanda,Nalanda,,29,Nalanda,Shrawan Kumar,JD(U),58067,Arun Kumar,RJD,37030,21037,Shrawan Kumar,JD(U),"72,596",Kaushlendra Kumar,BJP,"69,600","2,996",Shrawan Kumar,JD(U),"66,066",Kaushalendra Kumar,JVP,"49,989","16,077",,,,,,,,Shrawan Kumar,JD(U),NDA,,False,False
177,Harnaut,harnaut,Nalanda,,29,Nalanda,Hari Narayan Singh,JD(U),56827,Arun Kumar,LJP,41785,15042,Hari Narayan Singh,JD(U),"71,933",Arun Kumar,LJP,"57,638","14,295",Hari Narayan Singh,JD(U),"65,404",Mamata Devi,LJP,"38,163","27,241",,,,,,,,Hari Narayan Singh,JD(U),NDA,,False,False
178,Mokama,mokama,Patna,,28,Munger,Anant Kumar Singh,JD(U),51564,Sonam Devi,LJP,42610,8954,Anant Kumar Singh,IND,"54,005",Neeraj Kumar,JD(U),"35,657","18,348",Anant Kumar Singh,RJD,"78,721",Rajeev Lochan Narayan Singh,JD(U),"42,964","35,757",,,,,,,,Anant Kumar Singh,RJD,MGB,"Disqualified in July 2022 due to criminal conviction[17]
Nilam Devi		JD(U)		NDA	*Won in 2022 bypoll
Switched from RJD to JDU",False,False
179,Barh,barh,Patna,,28,Munger,Gyanendra Kumar Singh,JD(U),53129,Vijay Krishna,RJD,33734,19395,Gyanendra Kumar Singh,BJP,"63,989",Manoj Kumar,JD(U),"55,630","8,359",Gyanendra Kumar Singh,BJP,"49,327",Satyendra Bahadur Singh,INC,"39,087","10,240",,,,,,,,Gyanendra Kumar Singh,BJP,NDA,,False,False
180,Bakhtiarpur,bakhtiarpur,Patna,,30,Patna Sahib,Aniruddh Kumar Yadav,RJD,52782,Vinode Yadav,BJP,38037,14745,Ranvijay Singh Yadav,BJP,"61,496",Aniruddh Kumar Yadav,RJD,"53,594","7,902",Aniruddh Kumar Yadav,RJD,"89,483",Ranvijay Singh Yadav,BJP,"68,811","20,672",,,,,,,,Aniruddh Kumar Yadav,RJD,MGB,,False,False
181,Digha,digha,Patna,,30,Patna Sahib,Punam Devi,JD(U),81247,Satya Nand Sharma,LJP,20785,60462,Sanjeev Chaurasiya,BJP,"92,671",Rajeev Ranjan Prasad,JD(U),"67,892","24,779",Sanjeev Chaurasiya,BJP,"97,044",Shashi Yadav,CPI(ML)L,"50,971","46,073",,,,,,,,Sanjeev Chaurasiya,BJP,NDA,,False,False
182,Bankipur,bankipur,Patna,,30,Patna Sahib,Nitin Nabin,BJP,78771,Binod Kumar Srivastava,RJD,17931,60840,Nitin Nabin,BJP,"86,759",Kumar Ashish,INC,"46,992","39,767",Nitin Nabin,BJP,"83,068",Luv Sinha,INC,"44,032","39,036",,,,,,,,Nitin Nabin,BJP,NDA,,False,False
183,Kumhrar,kumhrar,Patna,,30,Patna Sahib,Arun Kumar Sinha,BJP,83425,Md Kamal Parwez,LJP,15617,67808,Arun Kumar Sinha,BJP,"87,792",Aquil Haider,INC,"50,517","37,275",Arun Kumar Sinha,BJP,"81,400",Dharamendra Kumar,RJD,"54,937","26,463",,,,,,,,Arun Kumar Sinha,BJP,NDA,,False,False
184,Patna Sahib,patna-sahib,Patna,,30,Patna Sahib,Nand Kishore Yadav,BJP,91419,Parvej Ahmad,INC,26082,65337,Nand Kishore Yadav,BJP,"88,108",Santosh Mehta,RJD,"85,316","2,792",Nand Kishore Yadav,BJP,"97,692",Pravin Singh,INC,"79,392","18,300",,,,,,,,Nand Kishore Yadav,BJP,NDA,,False,False
185,Fatuha,fatuha,Patna,,30,Patna Sahib,Rama Nand Yadav,RJD,50218,Ajay Kumar Singh,JD(U),40562,9656,Rama Nand Yadav,RJD,"77,210",Satyendra Kumar Singh,LJP,"46,808","30,402",Rama Nand Yadav,RJD,"85,769",Satyendra Kumar Singh,BJP,"66,399","19,370",,,,,,,,Rama Nand Yadav,RJD,MGB,,False,False
186,Danapur,danapur,Patna,,31,Pataliputra,Asha Devi,BJP,59425,Ritlal Yadav,IND,41506,17919,Asha Devi,BJP,"72,192",Raj Kishor Yadav,RJD,"66,983","5,209",Ritlal Yadav,RJD,"89,895",Asha Devi Yadav,BJP,"73,971","15,924",,,,,,,,Ritlal Yadav,RJD,MGB,,False,False
187,Maner,maner,Patna,,31,Pataliputra,Bhai Virendra,RJD,57818,Srikant Nirala,JD(U),48217,9601,Bhai Virendra,RJD,"89,773",Srikant Nirala,BJP,"66,945","22,828",Bhai Virendra,RJD,"94,223",Nikhil Anand,BJP,"61,306","32,917",,,,,,,,Bhai Virendra Yadav,RJD,MGB,,False,True
188,Phulwari,phulwari-sc,Patna,SC,31,Pataliputra,Shyam Rajak,JD(U),67390,Uday Kumar,RJD,46210,21180,Shyam Rajak,JD(U),"94,094",Rajeshwar Manjhi,HAM(S),"48,381","45,713",Gopal Ravidas,CPI(ML)L,"91,124",Arun Manjhi,JD(U),"77,267","13,857",,,,,,,,Gopal Ravidas,CPI(ML)L,MGB,,False,False
189,Masaurhi,masaurhi-sc,Patna,SC,31,Pataliputra,Arun Manjhi,JD(U),56977,Anil Kumar,LJP,51945,5032,Rekha Devi,RJD,"89,657",Nutan Paswan,HAM(S),"50,471","39,186",Rekha Devi,RJD,"98,696",Nutan Paswan,JD(U),"66,469","32,227",,,,,,,,Rekha Devi,RJD,MGB,,False,False
190,Paliganj,paliganj,Patna,,31,Pataliputra,Usha Vidyarthi,BJP,43692,Jai Vardhan Yadav,RJD,33450,10242,Jai Vardhan Yadav,RJD,"65,932",Ram Janm Sharma,BJP,"41,479","24,453",Sandeep Saurav,CPI(ML)L,"67,917",Jai Vardhan Yadav,JD(U),"37,002","30,915",,,,,,,,Sandeep Yadav,CPI(ML)L,MGB,,False,True
191,Bikram,bikram,Patna,,31,Pataliputra,Anil Kumar,BJP,38965,Siddharth,LJP,36613,2352,Siddharth,INC,"94,088",Anil Kumar,BJP,"49,777","44,311",Siddharth Saurav Singh,INC,"86,177",Anil Kumar Singh,IND,"50,717","35,460",,,,,,,,Siddharth Saurav,BJP,NDA,Switched from INC to BJP,True,True
192,Sandesh,sandesh,Bhojpur,,32,Arrah,Sanjay Singh Tiger,BJP,29988,Arun Yadav,RJD,23166,6822,Arun Yadav,RJD,"74,306",Sanjay Singh Tiger,BJP,"48,879","25,427",Kiran Devi Yadav,RJD,"79,599",Vijayendra Yadav,JD(U),"28,992","50,607",,,,,,,,Kiran Devi Yadav,RJD,MGB,,False,False
193,Barhara,barhara,Bhojpur,,32,Arrah,Raghvendra Pratap Singh,RJD,46102,Asha Devi,JD(U),45019,1083,Saroj Yadav,RJD,"65,001",Asha Devi,BJP,"51,693","13,308",Raghvendra Pratap Singh,BJP,"76,182",Saroj Yadav,RJD,"71,209","4,973",,,,,,,,Raghvendra Pratap Singh,BJP,NDA,,False,False
194,Arrah,arrah,Bhojpur,,32,Arrah,Amrendra Pratap Singh,BJP,56504,Shree Kumar Singh,LJP,37564,18940,Mohammad Nawaz Alam,RJD,"70,004",Amrendra Pratap Singh,BJP,"69,338",666,Amrendra Pratap Singh,BJP,"71,781",Quyamuddin Ansari,CPI(ML)L,"68,779","3,002",,,,,,,,Amrendra Pratap Singh,BJP,NDA,,False,False
195,Agiaon,agiaon-sc,Bhojpur,SC,32,Arrah,Shivesh Kumar,BJP,29257,Suresh Paswan,RJD,24008,5249,Prabhunath Prasad,JD(U),"52,276",Shivesh Kumar,BJP,"37,572","14,704",Manoj Manzil,CPI(ML)L,"86,327",Prabhunath Prasad,JD(U),"37,777","48,550",,,,,,,,Manoj Manzil,CPI(ML)L,MGB,"Disqualified on 16 February 2024 due to criminal conviction [18]
Shiv Prakash Ranjan		CPI(ML)L		MGB",False,False
196,Tarari,tarari,Bhojpur,,32,Arrah,Narendra Kumar Pandey,JD(U),48413,Adib Rizvi,RJD,34093,14320,Sudama Prasad,CPI(ML)L,"44,050",Gita Pandey,LJP,"43,778",272,Sudama Prasad,CPI(ML)L,"73,945",Narendra Kumar Pandey,IND,"62,930","11,015",,,,,,,,Sudama Prasad,CPI(ML)L,MGB,Vishal Prashant		BJP		NDA	Won in 2024 bypoll,False,False
197,Jagdishpur,jagdishpur,Bhojpur,,32,Arrah,Dinesh Kumar Singh,RJD,55560,Shri Bhagwan Singh Kushwaha,JD(U),45374,10186,Ram Vishun Singh,RJD,"49,020",Rakesh Raushan,RLSP,"38,825","10,195",Ram Vishnun Singh,RJD,"66,632",Shri Bhagwan Singh Kushwaha,LJP,"44,525","22,107",,,,,,,,Ram Vishnun Yadav,RJD,MGB,,False,True
198,Shahpur,shahpur,Bhojpur,,32,Arrah,Munni Devi,BJP,44795,Dharmpal Singh,RJD,36584,8211,Rahul Tiwari,RJD,"69,315",Visheshwar Ojha,BJP,"54,745","14,570",Rahul Tiwari,RJD,"64,393",Shobha Devi,IND,"41,510","22,883",,,,,,,,Rahul Tiwari,RJD,MGB,,False,False
199,Brahampur,brahampur,Buxar,,33,Buxar,Dilmarni Devi,BJP,46196,Ajit Chaudhary,RJD,25854,20342,Shambhu Nath Yadav,RJD,"94,079",Vivek Thakur,BJP,"63,303","30,776",Shambhu Nath Singh Yadav,RJD,"90,176",Hulas Pandey,LJP,"39,035","51,141",,,,,,,,Shambhu Nath Yadav,RJD,MGB,,False,True
200,Buxar,buxar,Buxar,,33,Buxar,Sukhada Pandey,BJP,48062,Shyam Lal Singh Kushwaha,RJD,27879,20183,Sanjay Kumar Tiwari,INC,"66,527",Pradeep Dubey,BJP,"56,346","10,181",Sanjay Kumar Tiwari,INC,"59,417",Parshuram Chaubey,BJP,"55,525","3,892",,,,,,,,Sanjay Kumar Tiwari,INC,MGB,,False,False
201,Dumraon,dumraon,Buxar,,33,Buxar,Daud Ali,JD(U),42538,Sunil Kumar,RJD,22692,19846,Dadan Yadav,JD(U),"81,081",Ram Bihari Singh,RLSP,"50,742","30,339",Ajit Kushwaha,CPI(ML)L,"71,320",Anjum Ara,JD(U),"46,905","24,415",,,,,,,,Ajit Kumar Singh,CPI(ML)L,MGB,,False,True
202,Rajpur,rajpur-sc,Buxar,SC,33,Buxar,Santosh Kumar Nirala,JD(U),54802,Chhedi Lal Ram,LJP,39563,15239,Santosh Kumar Nirala,JD(U),"84,184",Bishawnath Ram,BJP,"51,396","32,788",Vishwanath Ram,INC,"67,871",Santosh Kumar Nirala,JD(U),"46,667","21,204",,,,,,,,Vishwanath Ram,INC,MGB,,False,False
203,Ramgarh,ramgarh,Kaimur,,33,Buxar,Ambika Singh Yadav,RJD,30787,Ashok Kumar Singh,IND,27809,2978,Ashok Kumar Singh,BJP,"57,501",Ambika Singh Yadav,RJD,"49,490","8,011",Sudhakar Singh,RJD,"58,083",Ambika Singh Yadav,BSP,"57,894",189,,,,,,,,Sudhakar Singh,RJD,MGB,Ashok Kumar Singh		BJP		NDA	Won in 2024 bypoll,False,False
204,Mohania,mohania-sc,Kaimur,SC,34,Sasaram,Chhedi Paswan,JD(U),38918,Niranjan Ram,RJD,36393,2525,Niranjan Ram,BJP,"60,911",Sanjay Kumar,INC,"53,330","7,581",Sangita Kumari,RJD,"61,235",Niranjan Ram,BJP,"49,181","12,054",,,,,,,,Sangita Kumari,BJP,NDA,Switched from RJD to BJP,True,False
205,Bhabua,bhabua,Kaimur,,34,Sasaram,Pramod Kumar Singh,LJP,31246,Anand Bhushan Pandey,BJP,30799,447,Anand Bhushan Pandey,BJP,"50,768",Pramod Kumar Singh,JD(U),"43,024","7,744",Bharat Bind,RJD,"57,561",Rinki Rani Pandey,BJP,"47,516","10,045",,,,,,,,Bharat Bind,BJP,NDA,Switched from RJD to BJP,True,False
