no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
25,Parihar,parihar,Sitamarhi,,5,Sitamarhi,Ram Naresh Prasad Yadav,BJP,32987,Ram Chandra Purve,RJD,28769,4218,Gayatri Devi,BJP,"66,388",Ram Chandra Purve,RJD,"62,371","4,017",Gayatri Devi,BJP,"73,420",Ritu Jaiswal,RJD,"71,851","1,569",,,,,,,,Gayatri Devi Yadav,BJP,NDA,,False,True
26,Sursand,sursand,Sitamarhi,,5,Sitamarhi,Shahid Ali Khan,JD(U),38542,Jainandan Prasad Yadav,RJD,37356,1186,Syed Abu Dojana,RJD,"52,857",Amit Kumar,IND,"29,623","23,234",Dilip Kumar Ray,JD(U),"67,193",Syed Abu Dojana,RJD,"58,317","8,876",,,,,,,,Dilip Kumar Ray,JD(U),NDA,,False,False
27,Bajpatti,bajpatti,Sitamarhi,,5,Sitamarhi,Ranju Geeta,JD(U),44726,Md Anwarul Haque,RJD,41306,3420,Ranju Geeta,JD(U),"67,194",Rekha Kumari,RLSP,"50,248","16,946",Mukesh Kumar Yadav,RJD,"71,483",Ranju Geeta,JD(U),"68,779","2,704",,,,,,,,Mukesh Kumar Yadav,RJD,MGB,,False,False
28,Sitamarhi,sitamarhi,Sitamarhi,,5,Sitamarhi,Sunil Kumar Pintu,BJP,51664,Raghwendra Kumar Singh,LJP,46443,5221,Sunil Kumar,RJD,"81,557",Sunil Kumar Pintu,BJP,"66,835","14,722",Mithilesh Kumar,BJP,"90,236",Sunil Kumar,RJD,"78,761","11,475",,,,,,,,Mithilesh Kumar,BJP,NDA,,False,False
29,Runnisaidpur,runnisaidpur,Sitamarhi,,5,Sitamarhi,Guddi Devi,JD(U),36125,Ram Shatrughan Rai,RJD,25366,10759,Mangita Devi,RJD,"55,699",Pankaj Kumar Mishra,RLSP,"41,589","14,110",Pankaj Kumar Mishra,JD(U),"73,205",Mangita Devi,RJD,"48,576","24,629",,,,,,,,Pankaj Kumar Mishra,JD(U),NDA,,False,False
30,Belsand,belsand,Sitamarhi,,4,Sheohar,Sunita Singh Chauhan,JD(U),38139,Sanjay Kumar Gupta,RJD,18559,19580,Sunita Singh Chauhan,JD(U),"33,785",Md. Nasir Ahamad,LJP,"28,210","5,575",Sanjay Kumar Gupta,RJD,"49,682",Sunita Singh Chauhan,JD(U),"35,997","13,685",,,,,,,,Sanjay Kumar Gupta,RJD,MGB,,False,False
31,Harlakhi,harlakhi,Madhubani,,6,Madhubani,Shaligram Yadav,JD(U),30281,Ram Naresh Pandey,CPI,23622,6659,Basant Kumar,RLSP,"40,468",Mohammad Shabbir,INC,"36,576","3,892",Sudhanshu Shekhar,JD(U),"60,393",Ram Naresh Pandey,CPI,"42,800","17,593",,,,,,,,Sudhanshu Shekhar,JD(U),NDA,,False,False
32,Benipatti,benipatti,Madhubani,,6,Madhubani,Vinod Narayan Jha,BJP,31198,Mahesh Chandra Singh,LJP,18556,12642,Bhawana Jha,INC,"55,978",Vinod Narayan Jha,BJP,"51,244","4,734",Vinod Narayan Jha,BJP,"78,862",Bhawana Jha,INC,"46,210","32,652",,,,,,,,Vinod Narayan Jha,BJP,NDA,,False,False
33,Khajauli,khajauli,Madhubani,,7,Jhanjharpur,Arun Shankar Prasad,BJP,44959,Sitaram Yadav,RJD,34246,10713,Sitaram Yadav,RJD,"71,534",Arun Shankar Prasad,BJP,"60,831","10,703",Arun Shankar Prasad,BJP,"83,161",Sitaram Yadav,RJD,"60,472","22,689",,,,,,,,Arun Shankar Prasad,BJP,NDA,,False,False
34,Babubarhi,babubarhi,Madhubani,,7,Jhanjharpur,Uma Kant Yadav,RJD,51772,Kapil Deo Kamat,JD(U),46859,4913,Kapil Deo Kamat,JD(U),"61,486",Binod Kumar Singh,LJP,"41,219","20,267",Mina Kumari,JD(U),"77,367",Uma Kant Yadav,RJD,"65,879","11,488",,,,,,,,Mina Kumari,JD(U),NDA,,False,False
35,Bisfi,bisfi,Madhubani,,6,Madhubani,Faiyaz Ahmad,RJD,47169,Hari Bhushan Thakur,JD(U),37668,9501,Faiyaz Ahmad,RJD,"70,975",Manoj Kumar Yadav,RLSP,"35,650","35,325",Haribhushan Thakur,BJP,"86,574",Faiyaz Ahmad,RJD,"76,333","10,241",,,,,,,,Haribhushan Thakur,BJP,NDA,,False,False
36,Madhubani,madhubani,Madhubani,,6,Madhubani,Ramdeo Mahto,BJP,44817,Naiyar Azam,RJD,44229,588,Samir Kumar Mahaseth,RJD,"76,823",Ramdeo Mahto,BJP,"69,516","7,307",Samir Kumar Mahaseth,RJD,"71,332",Suman Kumar Mahaseth,VIP,"64,518","6,814",,,,,,,,Samir Kumar Mahaseth,RJD,MGB,,False,False
37,Rajnagar,rajnagar-sc,Madhubani,SC,7,Jhanjharpur,Ram Lakhan Ram Raman,RJD,40584,Ram Prit Paswan,BJP,38125,2459,Ram Prit Paswan,BJP,"71,614",Ramawatar Paswan,RJD,"65,372","6,242",Ramprit Paswan,BJP,"89,459",Ramawatar Paswan,RJD,"70,338","19,121",,,,,,,,Ram Prit Paswan,BJP,NDA,,False,True
38,Jhanjharpur,jhanjharpur,Madhubani,,7,Jhanjharpur,Nitish Mishra,JD(U),57652,Jagat Narayan Singh,RJD,36971,20681,Gulab Yadav,RJD,"64,320",Nitish Mishra,BJP,"63,486",834,Nitish Mishra,BJP,"94,854",Ram Narayan Yadav,CPI,"53,066","41,788",,,,,,,,Nitish Mishra,BJP,NDA,,False,False
